common_group,order,ala_species_1875_2014,melbourne_bioblitz_species_2014,targeted_survey_species_2014_2015,geography,source_table
Beetles,Coleoptera,578,13,25,City of Melbourne LGA,Table 3.2
Butterflies and moths,Lepidoptera,192,72,8,City of Melbourne LGA,Table 3.2
"Wasps, bees and ants",Hymenoptera,127,15,68,City of Melbourne LGA,Table 3.2
True bugs,Hemiptera,32,11,78,City of Melbourne LGA,Table 3.2
"Flies, mosquitoes and midges",Diptera,27,15,65,City of Melbourne LGA,Table 3.2
Lacewings,Neuroptera,20,6,4,City of Melbourne LGA,Table 3.2
Dragonflies and damselflies,Odonata,14,6,0,City of Melbourne LGA,Table 3.2
Cockroaches and termites,Blattodea,10,0,3,City of Melbourne LGA,Table 3.2
Caddisflies,Trichoptera,6,1,0,City of Melbourne LGA,Table 3.2
Mantis,Mantodea,0,0,5,City of Melbourne LGA,Table 3.2
Grasshoppers and crickets,Orthoptera,0,1,3,City of Melbourne LGA,Table 3.2
Thrips,Thysanoptera,4,0,0,City of Melbourne LGA,Table 3.2
Mayflies,Ephemeroptera,2,0,0,City of Melbourne LGA,Table 3.2
Bark lice,Psocoptera,0,0,3,City of Melbourne LGA,Table 3.2
Earwigs,Dermaptera,1,0,1,City of Melbourne LGA,Table 3.2
Fleas,Siphonaptera,1,0,0,City of Melbourne LGA,Table 3.2
