taxon_id,scientific_name,current_name,common_name,epbc_status_code,epbc_status,family,genus,state_abbreviation,state_code_2026,state_name_2026,sprat_profile,dcceew_extract_date,abs_release_date
77672,Antipodia chaostola leucophaea,,"Tasmanian Chaostola Skipper, Heath-sand Skipper",EN,Endangered,Hesperiidae,Antipodia,TAS,6,Tasmania,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77672,2026-02-06,2026-07-22
88056,Argynnis hyperbius inconstans,,Australian Fritillary,CR,Critically Endangered,Nymphalidae,Argynnis,NSW,1,New South Wales,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88056,2026-02-06,2026-07-22
88056,Argynnis hyperbius inconstans,,Australian Fritillary,CR,Critically Endangered,Nymphalidae,Argynnis,QLD,3,Queensland,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88056,2026-02-06,2026-07-22
84741,Austrocordulia leonardi,,Sydney Hawk Dragonfly,EN,Endangered,Austrocorduliidae,Austrocordulia,NSW,1,New South Wales,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84741,2026-02-06,2026-07-22
92235,Cormodes darwini,,a beetle,CR,Critically Endangered,Cleridae,Cormodes,NSW,1,New South Wales,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=92235,2026-02-06,2026-07-22
66752,Dryococelus australis,,"Lord Howe Island Phasmid, Land Lobster",CR,Critically Endangered,Phasmatidae,Dryococelus,NSW,1,New South Wales,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66752,2026-02-06,2026-07-22
66734,Hesperocolletes douglasi,,"Douglas' Broad-headed Bee, Rottnest Bee",CR,Critically Endangered,Colletidae,Hesperocolletes,WA,5,Western Australia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66734,2026-02-06,2026-07-22
66754,Hoplogonus bornemisszai,,Bornemissza's Stag Beetle,CR,Critically Endangered,Lucanidae,Hoplogonus,TAS,6,Tasmania,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66754,2026-02-06,2026-07-22
66796,Hoplogonus simsoni,,Simson's Stag Beetle,VU,Vulnerable,Lucanidae,Hoplogonus,TAS,6,Tasmania,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66796,2026-02-06,2026-07-22
66797,Hoplogonus vanderschoori,,Vanderschoor's Stag Beetle,VU,Vulnerable,Lucanidae,Hoplogonus,TAS,6,Tasmania,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66797,2026-02-06,2026-07-22
77869,Hypochrysops piceatus,,Bulloak Jewel Butterfly,CR,Critically Endangered,Lycaenidae,Hypochrysops,QLD,3,Queensland,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77869,2026-02-06,2026-07-22
89739,Keyacris scurra,,Key's Matchstick Grasshopper,EN,Endangered,Morabidae,Keyacris,ACT,8,Australian Capital Territory,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89739,2026-02-06,2026-07-22
89739,Keyacris scurra,,Key's Matchstick Grasshopper,EN,Endangered,Morabidae,Keyacris,NSW,1,New South Wales,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89739,2026-02-06,2026-07-22
89739,Keyacris scurra,,Key's Matchstick Grasshopper,EN,Endangered,Morabidae,Keyacris,VIC,2,Victoria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89739,2026-02-06,2026-07-22
66756,Leioproctus douglasiellus,,a short-tongued bee,CR,Critically Endangered,Colletidae,Leioproctus,WA,5,Western Australia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66756,2026-02-06,2026-07-22
66760,Lissotes latidens,,"Broad-toothed Stag Beetle, Wielangta Stag Beetle",EN,Endangered,Lucanidae,Lissotes,TAS,6,Tasmania,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66760,2026-02-06,2026-07-22
82084,Micropathus kiernani,,"Francistown Cave Cricket, Southern sandstone cave cricket",CR,Critically Endangered,Rhaphidophoridae,Micropathus,TAS,6,Tasmania,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82084,2026-02-06,2026-07-22
66821,Neopasiphae simplicior,,A native bee,CR,Critically Endangered,Colletidae,Neopasiphae,WA,5,Western Australia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66821,2026-02-06,2026-07-22
77743,Ogyris subterrestris petrina,Ogyris petrina,Arid Bronze Azure,CR,Critically Endangered,Lycaenidae,Ogyris,WA,5,Western Australia,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77743,2026-02-06,2026-07-22
77747,Oreisplanus munionga larana,Hesperilla munionga larana,"Marrawah Skipper, Alpine Sedge Skipper, Alpine Skipper",VU,Vulnerable,Hesperiidae,Oreisplanus,TAS,6,Tasmania,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77747,2026-02-06,2026-07-22
26327,Oreixenica ptunarra,,"Ptunarra Brown, Ptunarra Brown Butterfly, Ptunarra Xenica",EN,Endangered,Nymphalidae,Oreixenica,TAS,6,Tasmania,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26327,2026-02-06,2026-07-22
66766,Paralucia pyrodiscus lucida,,Eltham Copper Butterfly,EN,Endangered,Lycaenidae,Paralucia,VIC,2,Victoria,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66766,2026-02-06,2026-07-22
26335,Paralucia spinifera,,"Bathurst Copper Butterfly, Purple Copper Butterfly, Bathurst Copper, Bathurst Copper Wing, Bathurst-Lithgow Copper, Purple Copper",VU,Vulnerable,Lycaenidae,Paralucia,NSW,1,New South Wales,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=26335,2026-02-06,2026-07-22
