taxon_id,scientific_name,current_name,common_name,epbc_status_code,epbc_status,family,genus,jurisdictions,sprat_profile,source_extract_date
77672,Antipodia chaostola leucophaea,,"Tasmanian Chaostola Skipper, Heath-sand Skipper",EN,Endangered,Hesperiidae,Antipodia,TAS,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77672,2026-02-06
88056,Argynnis hyperbius inconstans,,Australian Fritillary,CR,Critically Endangered,Nymphalidae,Argynnis,NSW|QLD,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=88056,2026-02-06
84741,Austrocordulia leonardi,,Sydney Hawk Dragonfly,EN,Endangered,Austrocorduliidae,Austrocordulia,NSW,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=84741,2026-02-06
92235,Cormodes darwini,,a beetle,CR,Critically Endangered,Cleridae,Cormodes,NSW,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=92235,2026-02-06
66752,Dryococelus australis,,"Lord Howe Island Phasmid, Land Lobster",CR,Critically Endangered,Phasmatidae,Dryococelus,NSW,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66752,2026-02-06
66734,Hesperocolletes douglasi,,"Douglas' Broad-headed Bee, Rottnest Bee",CR,Critically Endangered,Colletidae,Hesperocolletes,WA,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66734,2026-02-06
66754,Hoplogonus bornemisszai,,Bornemissza's Stag Beetle,CR,Critically Endangered,Lucanidae,Hoplogonus,TAS,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66754,2026-02-06
66796,Hoplogonus simsoni,,Simson's Stag Beetle,VU,Vulnerable,Lucanidae,Hoplogonus,TAS,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66796,2026-02-06
66797,Hoplogonus vanderschoori,,Vanderschoor's Stag Beetle,VU,Vulnerable,Lucanidae,Hoplogonus,TAS,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66797,2026-02-06
77869,Hypochrysops piceatus,,Bulloak Jewel Butterfly,CR,Critically Endangered,Lycaenidae,Hypochrysops,QLD,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=77869,2026-02-06
89739,Keyacris scurra,,Key's Matchstick Grasshopper,EN,Endangered,Morabidae,Keyacris,ACT|NSW|VIC,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=89739,2026-02-06
66756,Leioproctus douglasiellus,,a short-tongued bee,CR,Critically Endangered,Colletidae,Leioproctus,WA,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66756,2026-02-06
66760,Lissotes latidens,,"Broad-toothed Stag Beetle, Wielangta Stag Beetle",EN,Endangered,Lucanidae,Lissotes,TAS,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66760,2026-02-06
82084,Micropathus kiernani,,"Francistown Cave Cricket, Southern sandstone cave cricket",CR,Critically Endangered,Rhaphidophoridae,Micropathus,TAS,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=82084,2026-02-06
66821,Neopasiphae simplicior,,A native bee,CR,Critically Endangered,Colletidae,Neopasiphae,WA,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66821,2026-02-06
