ScientificName,CommonName,NewMonths,NewMonthCount
Protographium leosthenes,Four-barred Swordtail,Aug,1
Papilio ambrax,Ambrax Swallowtail,Jul,1
Allora major,Greater Peacock Awl,"Feb, Nov",2
Hasora hurama,Broad-banded Awl,Aug,1
Euschemon rafflesia,Regent Skipper,Jul,1
Netrocoryne repanda,Bronze Flat,Aug,1
Chaetocneme beata,Eastern Dusk-flat,May,1
Chaetocneme critomedia,Banded Dusk-flat,"Jun, Aug",2
Chaetocneme porphyropis,Purple Dusk-flat,"Jan, Aug",2
Timoconia melania,Dark Grass-skipper,"Jul, Nov",2
Timoconia flammeata,Bright Shield-skipper,"Jun, Nov",2
Timoconia peron,Dingy Grass-skipper,"Jun, Aug",2
Timoconia tymbophora,Dark Shield-skipper,Dec,1
Antipodia atralba,Diamond Sand-skipper,Jan,1
Antipodia chaostola,Heath Sand-skipper,Feb,1
Antipodia dactyliota,Western Sand-skipper,Dec,1
Croitana aestiva,Desert Sand-skipper,Aug,1
Dispar compacta,Barred Skipper,"May, Dec",2
Hesperilla crypsargyra,Silver Sedge-skipper,May,1
Hesperilla idothea,Flame Sedge-skipper,Apr,1
Hesperilla mastersi,Chequered Sedge-skipper,Oct,1
Hesperilla ornata,Spotted Sedge-skipper,Jul,1
Hesperilla picta,Painted Sedge-skipper,May,1
Mesodina cyanophracta,Blue Iris-skipper,Sep,1
Pasma tasmanica,Two-spotted Grass-skipper,"Apr, Sep",2
Toxidia doubledayi,Lilac Grass-skipper,Aug,1
Toxidia parvula,Banded Grass-skipper,May,1
Toxidia thyrrhus,Dusky Grass-skipper,"Jun, Jul",2
Toxidia xiphiphora,Sword-brand Grass-skipper,Apr,1
Trapezites luteus,Yellow Ochre,Apr,1
Trapezites macqueeni,Bronze Ochre,Nov,1
Trapezites maheta,Northern Silver Ochre,May,1
Trapezites phigalia,Heath Ochre,Apr,1
Trapezites phigalioides,Montane Ochre,Sep,1
Trapezites praxedes,Southern Silver Ochre,"Apr, May, Aug",3
Trapezites symmomus,Splendid Ochre,"May, Jun, Jul",3
Borbo cinnara,Rice Swift,"Jan, Feb",2
Borbo impar,Yellow Swift,Jun,1
Parnara amalia,Orange Swift,Aug,1
Parnara bada,Grey Swift,Jul,1
Bibla papyria,White-banded Grass-dart,"May, Jun",2
Arrhenes marnas,Swamp Darter,Oct,1
Ocybadistes knightorum,Black Grass-dart,"Jan, Mar, Jun",3
Taractrocera ina,No-brand Grass-dart,Aug,1
Telicota paceka,Narrow-brand Darter,Dec,1
Telicota anisodesma,Southern Large Darter,Sep,1
Delias aestiva,Mangrove Jezebel,Dec,1
Delias aganippe,Spotted Jezebel,"Jun, Jul",2
Euploea climena,Climena Crow,"Jan, Feb, Mar, Apr, Jun, Dec",6
Acraea terpsicore,Tawny Coster,Oct,1
Vagrans egista,Tailed Rustic,"Aug, Sep",2
Libythea geoffroyi,Purple Beak,Aug,1
Vanessa kershawi,Australian Painted Lady,"Jun, Jul",2
Hypolimnas anomala,Crow Eggfly,"May, Jun, Aug, Nov",4
Charaxes andrewsi,Christmas Emperor,Jan,1
Oreixenica kershawi,Striped Xenica,May,1
Oreixenica lathoniella,Silver Xenica,Dec,1
Argynnina cyrila,Forest Brown,"Feb, Mar, Apr",3
Geitoneura minyas,Western Xenica,"Jan, Dec",2
Heteronympha banksii,Banks' Brown,"Jun, Dec",2
Heteronympha cordace,Bright-eyed Brown,Apr,1
Heteronympha merope,Common Brown,"Jun, Aug",2
Heteronympha mirifica,Wonder Brown,"Jun, Sep",2
Heteronympha penelope,Shouldered Brown,"Oct, Nov, Dec",3
Hypocysta pseudirius,Grey Ringlet,"Jun, Jul",2
Tisiphone abeona,Varied Sword-grass Brown,"May, Jun, Aug",3
Pseudalmenus chlorinda,Silky Hairstreak,"Apr, Jul",2
Jalmenus evagoras,Imperial Hairstreak,May,1
Jalmenus icilius,Amethyst Hairstreak,May,1
Jalmenus ictinus,Stencilled Hairstreak,"Apr, May, Oct",3
Jalmenus inous,Varied Hairstreak,Apr,1
Jalmenus pseudictinus,Macqueen's Hairstreak,Aug,1
Cyprotides pallescens,Large Trident-blue,Apr,1
Candalides xanthospilos,Yellow-spotted Blue,Jul,1
Erina acasta,Blotched Dusky-blue,"May, Jun, Jul",3
Erina hyacinthina,Varied Dusky-blue,"May, Jun, Jul",3
Hypochrysops cyane,Cyane Jewel,May,1
Hypochrysops delicia,Moonlight Jewel,"Jul, Aug",2
Hypochrysops ignitus,Fiery Jewel,"Jul, Aug, Sep",3
Ogyris abrota,Dark Purple Azure,Sep,1
Ogyris aenone,Cooktown Azure,"May, Jun, Jul",3
Ogyris amaryllis,Satin Azure,"May, Jun, Jul, Aug",4
Ogyris caelestia,Saphhire Azure,May,1
Ogyris ianthis,Golden Azure,"Apr, May, Jun",3
Ogyris iphis,Orange-tipped Azure,May,1
Acrodipsas cuprea,Copper Ant-blue,Aug,1
Paralucia aurifera,Bright Copper,Jul,1
Hypolycaena danis,Orchid Flash,Aug,1
Rapala varuna,Indigo Flash,Oct,1
Catopyrops ancyra,Papuan Line-blue,"May, Jul",2
Erysichton lineatus,Hairy Line-blue,Jul,1
Ionolyce helicon,Bronze Line-blue,Feb,1
Neolucia agricola,Fringed Heath-Blue,Mar,1
Theclinesthes albocinctus,Bitter-bush Blue,Jul,1
